post_id,title,italian_caption
post-0001,Churchill bridge layer Tank,"Piccolo kit molto simpatico, con il sistema di cavi del ponte funzionante."
post-0004,Opel Blitz,"Sebbene questo kit rifletta lo stile e l’immagine dei camion della ditta Donati degli anni Cinquanta e Sessanta, non è storicamente corretto per quanto riguarda il tipo di veicolo. L’Opel Blitz rappresentato nel modello non fece mai parte della flotta Donati. L’azienda, una delle principali distributrici di bevande a Ferrara in quel periodo, utilizzava invece una piccola ma solida serie di mezzi, tra cui due Fiat 615, uno a benzina e uno diesel, una Lancia Beta e un paio di motocarri a tre ruote.

Fondata da Agostino Donati e in seguito gestita come impresa familiare con i figli Nello e Franco, la ditta ebbe un ruolo importante nel rifornire di birra e bibite i bar e le osterie di Ferrara e della sua campagna. La livrea mostrata sul modello, tuttavia, coglie bene l’essenza dell’immagine aziendale negli anni migliori: una presenza familiare sulle polverose strade provinciali e un piccolo omaggio a un’attività familiare concreta e operosa, che per decenni contribuì a dissetare la regione."
post-0007,Eurofighter Typhoon,"In colori RAF, kit enorme; manca ancora un po’ di invecchiamento."
post-0008,Pilatus PC6,Kit interessante di questo aereo dall’aspetto insolito e potente.
post-0009,28cm Sturm Moerser on T38 D,Interessante kit “what if” di un mortaio pesante montato sullo scafo leggero dello Skoda 38T. Ho provato a riprodurre diversi stili di mimetica. Il modello chiede a gran voce un po’ di invecchiamento.
post-0015,"Hull of Panzerselbstfahrlafette für 12,8-cm-Kanone 40","Rappresenta lo scafo dello Sturer Emil in costruzione, dato che ho usato il cannone per un altro progetto, cioè il 12.8 Waffenträger auf Pz IV da World of Tanks."
post-0017,M7 Gun Motor Carriage 105mm 'Priest',Mimetica ispirata a World of Tanks.
post-0018,Sturmgeschütz III with 105mm gun,"Un ex kit Matchbox, con graziosi elementi di diorama."
post-0019,Panzer II,Un kit Matchbox che includeva intelligentemente alcuni elementi base di diorama: una bellissima idea che aggiungeva fascino al set.
post-0021,SPAD S.A. 2,"Kit simpatico di un aeroplano insolito. Ai tempi in cui non esisteva ancora un sincronizzatore per la mitragliatrice, una soluzione poteva essere mettere un poveraccio DAVANTI all’elica, permettendogli di mitragliare lo spazio aereo attorno con una certa libertà: assolutamente preposterous, non trovate?"
post-0022,Sturmgeschütz IV (Sd.Kfz. 167/ StuG IV),"All’epoca, nel 1976, era un kit sorprendente, uno dei primi carri in grande scala. Lo realizzai radiocomandato: affascinante."
post-0035,De Havilland Sea Venom FAW.22,"894 NAS FAA, HMS Albion, 1960. Ex kit Matchbox; la livrea della crisi di Suez è sempre molto attraente, soggetto interessante e di dimensioni piuttosto imponenti."
post-0038,Ice `T`,Splendido design da funny car di Tom Daniel.
post-0039,Brabham BT46B,"Fan car, GP di Svezia F1 ad Anderstorp, 17 giugno 1978: prima gara, prima vittoria, poi bandita."
post-0042,Lockheed P38 J-20-LO Lightning,"Arkansas Traveller, pilota Lt. Owen Fincher, 392 FS, 367 FG, Jovincourt 1945. Anche in questo caso un kit enorme e impressionante; dovrei decisamente dedicargli un po’ più di lavoro."
post-0043,Cobra 427 cu. in.,"Signore e signori, ecco uno dei miei kit preferiti: linee dell’auto bellissime, dimensioni del modello perfette, né troppo grande né troppo piccolo."
post-0044,Fictional Northrop B2,"Il kit arrivò sul mercato in un periodo in cui i dati sul B-2 erano ancora un sogno lontano, rendendolo una creazione del tutto immaginaria — se non addirittura un po’ strampalata. Proprio per questo è interessante."
post-0048,Lockheed YF22,Kit enorme e impressionante!!
post-0049,Douglas A20 G Havoc,"T= 389 Bomber Squadron, 312 Bomber Group, South East Pacific. Bel soggetto in questa scala; bel video proprio su questo aereo: https://www.google.com"
post-0050,Lockheed C130 Hercules,"Il kit riproduceva originariamente la versione britannica, includendo Land Rover e missile Bloodhound, ma io preferivo la mimetica Vietnam. È appena assemblato e richiederà ancora parecchio lavoro."
post-0052,British Main Battle Tank Challenger,"KFOR King's Royal Hussars, Kosovo, giugno 1999. Anche in questo caso, un piccolo kit molto grazioso."
post-0053,Leclerc french main battle tank,"KFOR 6974 0006 Petitmont, giugno 1999, Kosovo Peacekeeping - Kosovska Mitrovica, XK. Un piccolo kit molto grazioso."
post-0056,Iowa class battleship,"Vecchio kit dell’Estremo Oriente, motorizzato, sia a scafo intero sia waterline."
post-0057,Hawker Siddley Harrier T2,"Variante insolita, kit di seconda mano; ho dovuto termoformare il tettuccio."
post-0059,Boeing SST,"Splendido vecchio kit Revell che contiene l’SST sia in configurazione di crociera sia in configurazione di decollo e atterraggio: un’idea superba. L’ala a geometria variabile applicata a un aereo di linea era davvero qualcosa di speciale.

In più, guardiamo con nostalgia alla vecchia livrea Pan Am, ormai scomparsa, che un tempo era quasi sinonimo stesso di viaggio aereo."
post-0064,ASK 21 glider,"Segelflugschule Zürich, 1988. Un altro bel kit Revell di aliante; la livrea svizzera è piuttosto elegante."
post-0065,Schempp-Hirth Duo Discus,"Segelfluggruppe Bern. Kit insolito e di dimensioni notevoli in questa scala, con un’apertura alare del modello di 62 cm, dedicato a un aliante ad alte prestazioni."
post-0066,M12 gun motor carriage,Bel kit minuscolo; questo semovente M12 si può giocare in World of Tanks ed è piuttosto valido.
post-0092,Focke Wulf Ta154,"Volevo vedere che aspetto avrebbe avuto un Ta154 ad ala bassa, per migliorare la visibilità del pilota. Deve però essere un tail-sitter, altrimenti la lunghezza del carrello anteriore sarebbe eccessiva. In ogni caso, con tutto il rispetto per il professor Tank, il Mosquito resta insuperato. #1/72 #conversion"
post-0119,North American F-86D Sabre Dog,"1st Fighter Group, 94th Fighter Interceptor Squadron, Selfridge, Michigan, 1959."
post-0149,Kanonenjagdpanzer,Maggiori informazioni sul kit: https://kitchecker.com/reviews_2019_1/revell_03276.htm
post-0153,Chevrolet Camaro SS,Model year 2010. Attraente aspetto rétro.
post-0174,Focke Wulf FW190 A8,Faceva parte del kit “Mistel”.
post-0178,Shelby Cobra 427,Bel kit.
post-0189,Fairchild A10 Twin Seat,Uccello raro: ne fu costruito uno solo. Maggiori informazioni: https://theaviationgeekclub.com/the-story-of-the-ya-10b-formerly-night-adverse-weather-a-10-the-only-the-only-two-seat-warthog-ever-built/
post-0193,Grumman F3F-3,"VF-5, 1938, USS Yorktown. Kit intrigante, con carrello retrattile funzionante. Bellissima livrea prebellica."
post-0201,Ferrari Testarossa,Kit in metallo.
post-0206,Gloster Meteor NF 14,"264 Sqn, Linton-on-Ouse, Regno Unito, 1957. Bel kit con tettucci e radome opzionali."
post-0217,Messecrschmitt Me109 E,"Pilotato da Helmut Wick, Geschwaderkommodore del JG2 “Richthofen”. Secondo kit della mitica serie Airfix in scala 1/24."
post-0226,Scammell Scarab,"Lo Scammell Scarab era un “cavallo meccanico” britannico a tre ruote, usato soprattutto per trasporti leggeri in città dagli anni Quaranta agli anni Sessanta. Spesso trainava rimorchi come quello di questo modello, con merci come barili e altri carichi. Maggiori informazioni: https://www.youtube.com/watch?v=GkwEfeE6GGs&ab_channel=ClassicVehicleChannel. Uno dei primi kit che ricordo."
post-0237,Focke-Achgelis Fa 223,Elicottero operativo nella Seconda guerra mondiale. Kit delicato.
post-0252,Dassault Mirage III C,Bel kit in questa grande scala.
post-0259,Ferrari F60,Corse nel 2009; per maggiori informazioni: https://www.wixy500.com/build-diary-2009-ferrari-f60-tamiya-120-scale/
post-0262,Alfa Romeo 1933,Piccolo kit grazioso.
post-0276,Noorduyn Norseman UC 64 A,"320 Transport Squadron, 27 Transport Group, 35389 “Stella Mac” (SPLM C.S. Webster/FYC M.E. Janus), 1945, Le Bourget. Il kit forniva anche i galleggianti."
post-0284,Bristol 170 Superfreighter,"Il mio primo ricordo di un kit, ma purtroppo con il primo esemplare ci giocai e lo distrussi."
post-0285,Toyota Soarer 4.0 GT Limited,Model year 1991.
post-0294,Honda RC211V Repsol,"Grande moto vincente, kit enorme e davvero impressionante."
post-0310,MV Agusta F4,Amazing moto e bel kit.
post-0311,Ducati 999 F03,"Livrea Nice assembled metal modello, beautiful."
post-0324,Honda NSR 500,"Valentino Rossi 2001.
Piccolo kit grazioso."
post-0332,Volkswagen Touareg,"Vincitrice Kleinschmidt-Pons. Paris-Dakar 2001.
Snap-on kit. very colorata."
post-0333,Dome 0 RL LeMans,"Corse una Le Mans nel 1979 Info: https://www.autothrottle.com/post/rzokmkm/.
Purtroppo nella scatola del kit mancavano le decals."
post-0339,Albatross DV,Piccolo kit grazioso devo controllare il company.
post-0350,Breguet 1050 Alize,"Buffa forma, insolito kit soggetto."
post-0357,SIAI-MARCHETTI SF-260 AM,"Bella aereo linee, reproduced by una grazioso minuscolo piccolo kit."
post-0368,Mig 21 SMT,"Dorsal fairing added, unfortunately ancora senza decals."
post-0385,BNW R69 motorcycle,Much hopes on il kit but somewhat disappointed due unal difficulty di reproducing cromo e alluminio una quell’epoca.
post-0389,North American F82 Twin Mustang,"Piuttosto una intrigante aereo, thanks Paolo per il kit."
post-0392,Fairey Spearfish,"notevole dimensioni per una single motore aereo, kit trovato nel UK."
post-0393,De Havilland Hornet,"Superfast successore del Mosquito.
I still remember il excessive thickness del modello's vertical piano di coda."
post-0403,Supermarine S.6B,Primo aereo a superare 400mph. Il kit fu pubblicato nel 1957 e costruito più o meno in quel periodo.
post-0405,Westland Wyvern,"No. 830 NAS WN325 1956 Crisi di Suez - HMS Eagle Egypt.
Livrea Nice aircraft shape e."
