post_id,italian_caption
post-0001,"Piccolo kit molto simpatico, con il sistema di cavi del ponte funzionante."
post-0002,Modello di Riccardo Brambilla.
post-0003,Modello di Riccardo Brambilla.
post-0006,"Soggetto interessante di un aereo non così comune. Da notare i missili da addestramento, in nome della pace..."
post-0007,"In colori RAF, kit enorme; manca ancora un po’ di invecchiamento."
post-0008,Kit interessante di questo aereo dall’aspetto insolito e potente.
post-0009,Interessante kit “what if” di un mortaio pesante montato sullo scafo leggero dello Skoda 38T. Ho provato a riprodurre diversi stili di mimetica. Il modello chiede a gran voce un po’ di invecchiamento.
post-0010,"16 FIS, 51 FIW, FT-650 / 9650 “Saggin Dragon”, 1951 - Suwon AB, Corea. Magnifica illustrazione Airfix sulla scatola."
post-0011,"Rappresenta una versione ASA ibrida, perché all’aereo mancano le due derive ventrali posteriori invece di una sola. Dovrei aggiungerle..."
post-0012,"KG4 Jasta 11, 1927. Questo velivolo fu pilotato da Lothar von Richthofen, fratello del celebre Barone Rosso; sopravvisse alla guerra."
post-0013,"Prototipo di caccia a reazione sovietico, costruito in un solo esemplare; primo volo il 18 aprile 1948. Mi scuso per il secondo cannone mancante: devo recuperarlo da qualche parte."
post-0014,"Mimetica australiana fittizia, evoluzione dell’MB5, che era un caccia piuttosto avanzato ma arrivò troppo tardi per essere impiegato nella Seconda guerra mondiale."
post-0015,"Rappresenta lo scafo dello Sturer Emil in costruzione, dato che ho usato il cannone per un altro progetto, cioè il 12.8 Waffenträger auf Pz IV da World of Tanks."
post-0016,Modello di Sara Donati.
post-0017,Mimetica ispirata a World of Tanks.
post-0018,"Un ex kit Matchbox, con graziosi elementi di diorama."
post-0019,Un kit Matchbox che includeva intelligentemente alcuni elementi base di diorama: una bellissima idea che aggiungeva fascino al set.
post-0021,"Kit simpatico di un aeroplano insolito. Ai tempi in cui non esisteva ancora un sincronizzatore per la mitragliatrice, una soluzione poteva essere mettere un poveraccio DAVANTI all’elica, permettendogli di mitragliare lo spazio aereo attorno con una certa libertà: assolutamente preposterous, non trovate?"
post-0022,"All’epoca, nel 1976, era un kit sorprendente, uno dei primi carri in grande scala. Lo realizzai radiocomandato: affascinante."
post-0023,Ha bisogno di parecchio invecchiamento...
post-0024,Piccolo microvan simpatico. Il nome deriva da “black Box”.
post-0025,Bel modello in grande scala.
post-0026,Il tipo di sommergibile tedesco tascabile di fine guerra che ebbe maggiore successo.
post-0028,"Team Zakspeed, 1979. Le auto del Gruppo 5 erano davvero fantastiche."
post-0029,"24 Ore di Le Mans, giugno 1996. Risultato: 2° posto (Hans Joachim Stuck / Thierry Boutsen / Bob Wollek). Livrea davvero stupenda."
post-0031,Vincitrice della 24 Ore di Le Mans 1978; interessante soluzione aerodinamica con abitacolo parzialmente carenato.
post-0032,"Replica della Lotus Seven, ancora disponibile sul mercato. Naturalmente verniciata in British racing green."
post-0033,Stagione agonistica 2008.
post-0034,"No. 24 Sqn. RFC 5964 (Lanoe Hawker). Fu abbattuto il 23 novembre 1916 da Manfred von Richthofen - Bertangles, Francia."
post-0035,"894 NAS FAA, HMS Albion, 1960. Ex kit Matchbox; la livrea della crisi di Suez è sempre molto attraente, soggetto interessante e di dimensioni piuttosto imponenti."
post-0036,Pilota: Mark Martin.
post-0037,"Carro pesante apparso proprio alla fine della Seconda guerra mondiale, troppo tardi per partecipare ai combattimenti."
post-0038,Splendido design da funny car di Tom Daniel.
post-0039,"Fan car, GP di Svezia F1 ad Anderstorp, 17 giugno 1978: prima gara, prima vittoria, poi bandita."
post-0040,Versione usata nella stagione F1 1978.
post-0041,"Oggi tutte le vetture di Formula 1 sembrano uguali, a parte la verniciatura; ma ci fu un tempo in cui si potevano avere tre versioni radicalmente diverse della stessa macchina. La BT46B, con il ventilatore, fu una di quelle idee meravigliosamente folli."
post-0042,"Arkansas Traveller, pilota Lt. Owen Fincher, 392 FS, 367 FG, Jovincourt 1945. Anche in questo caso un kit enorme e impressionante; dovrei decisamente dedicargli un po’ più di lavoro."
post-0043,"Signore e signori, ecco uno dei miei kit preferiti: linee dell’auto bellissime, dimensioni del modello perfette, né troppo grande né troppo piccolo."
post-0044,"Il kit arrivò sul mercato in un periodo in cui i dati sul B-2 erano ancora un sogno lontano, rendendolo una creazione del tutto immaginaria — se non addirittura un po’ strampalata. Proprio per questo è interessante."
post-0045,"VMA-331 Bumble Bees, 152072, 1984. Versione modificata e migliorata dell’Harrier originale, con un’interessante ala in fibra di carbonio."
post-0046,"All’inizio del 1945, 275 Ki-100 furono ricavati da Ki-61 modificati in emergenza per accogliere un motore radiale Mitsubishi Ha-112-II a 14 cilindri al posto dell’originario motore in linea raffreddato a liquido. Un esempio molto efficace di adattamento riuscito."
post-0047,"Regia Aeronautica, 360ª Squadriglia."
post-0048,Kit enorme e impressionante!!
post-0049,"T= 389 Bomber Squadron, 312 Bomber Group, South East Pacific. Bel soggetto in questa scala; bel video proprio su questo aereo: https://www.google.com"
post-0050,"Il kit riproduceva originariamente la versione britannica, includendo Land Rover e missile Bloodhound, ma io preferivo la mimetica Vietnam. È appena assemblato e richiederà ancora parecchio lavoro."
